binary_id,trinary_id,amountA,probA,amountB,probB,catch,EVA,EVB
1,1,39,65,64,50,0,25.35,32
2,2,43,60,71,45,0,25.8,31.95
3,3,36,70,64,50,0,25.2,32
4,4,64,50,36,75,0,32,27
5,5,36,75,71,55,0,27,39.05
6,6,64,25,11,75,0,16,8.25
7,7,43,60,61,55,0,25.8,33.55
8,8,79,65,71,75,0,51.35,53.25
9,9,43,60,79,40,0,25.8,31.6
10,10,61,45,36,70,0,27.45,25.2
11,11,61,45,43,75,0,27.45,32.25
12,12,11,25,4,75,0,2.75,3
13,13,58,40,36,75,0,23.2,27
14,14,18,25,11,45,0,4.5,4.95
15,15,39,65,43,60,0,25.35,25.8
16,16,71,45,36,75,0,31.95,27
17,17,16,20,4,50,0,3.2,2
18,18,71,55,11,75,0,39.05,8.25
19,19,76,65,43,75,0,49.4,32.25
20,20,36,30,4,75,0,10.8,3
21,21,64,25,58,40,0,16,23.2
22,22,36,30,18,50,0,10.8,9
23,23,18,25,4,75,0,4.5,3
24,24,43,75,76,65,0,32.25,49.4
25,25,58,45,39,60,0,26.1,23.4
26,26,43,75,61,55,0,32.25,33.55
27,27,16,20,11,25,0,3.2,2.75
28,28,18,50,11,25,1,9,2.75
29,29,11,75,4,25,1,8.25,1
30,30,58,30,11,25,1,17.4,2.75
