TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\FuseTeaGreen.png,1.0,0.0,45.299244,46.310997,46.552834,0.2367346,32.0,34.0,stimuli\FuseTeaGreen.png,2.0,0.10780782,--,--,--
2,stimuli\CocaCola2L.png,1.0,1.0,46.68186,47.69288,47.940845,0.2505852,46.0,44.0,stimuli\CocaCola2L.png,2.0,0.13132258,--,--,--
3,stimuli\Milka.PNG,1.0,2.0,48.119614,49.1321,49.132202,0.0,37.0,37.0,stimuli\Milka.PNG,2.0,0.2505254,--,--,--
4,stimuli\GelDeLin.png,1.0,3.0,49.400803,50.414543,50.54817,0.1390156,54.0,54.0,stimuli\GelDeLin.png,2.0,0.016312866,--,--,--
5,stimuli\Splendid.PNG,1.0,4.0,50.58582,51.596024,51.92025,0.3349158,78.0,78.0,stimuli\Splendid.PNG,2.0,-0.32382375,--,--,--
6,stimuli\Chocolatemilk.png,1.0,5.0,51.942295,52.952915,53.3409,0.3982494,92.0,92.0,stimuli\Chocolatemilk.png,2.0,-0.056324475,--,--,--
7,stimuli\FuzeTea.png,1.0,6.0,53.361736,54.37111,54.79468,0.4253381,40.0,44.0,stimuli\FuzeTea.png,2.0,-0.14085396,--,--,--
8,stimuli\ChocolateSpread.png,1.0,7.0,54.81646,55.82881,56.232666,0.407272,78.0,77.0,stimuli\ChocolateSpread.png,2.0,-0.07899021,--,--,--
9,stimuli\Oreo.PNG,1.0,8.0,56.27058,57.28071,57.80485,0.5264364,12.0,12.0,stimuli\Oreo.PNG,2.0,-0.36835206,--,--,--
10,stimuli\Zipperbigbag.png,1.0,9.0,57.827236,58.84128,58.841576,0.0,60.0,60.0,stimuli\Zipperbigbag.png,2.0,0.33726874,--,--,--
11,stimuli\Zippersmallbag.png,1.0,10.0,59.226097,60.23682,60.5125,0.2791281,66.0,66.0,stimuli\Zippersmallbag.png,2.0,-0.11609549,--,--,--
12,stimuli\Prince.PNG,1.0,11.0,60.5647,61.57645,61.867214,0.3022786,51.0,51.0,stimuli\Prince.PNG,2.0,-0.06483315,--,--,--
13,stimuli\Filtunamaybe.png,1.0,12.0,61.889847,62.901306,63.08769,0.1903207,58.0,58.0,stimuli\Filtunamaybe.png,2.0,-0.17185381,--,--,--
14,stimuli\Fitnessmaybe.png,1.0,13.0,63.106625,64.11649,64.2419,0.1358353,59.0,65.0,stimuli\Fitnessmaybe.png,2.0,0.17531587,--,--,--
15,stimuli\Wissotzky.png,1.0,14.0,64.45107,65.463264,65.46335,0.0,42.0,42.0,stimuli\Wissotzky.png,2.0,0.08048021,--,--,--
16,stimuli\Colgatemaybe.png,1.0,15.0,65.56369,66.57568,66.57584,0.0,12.0,12.0,stimuli\Colgatemaybe.png,2.0,0.28540105,--,--,--
17,stimuli\Heinz.png,1.0,16.0,66.88205,67.89416,68.17054,0.288734,34.0,34.0,stimuli\Heinz.png,2.0,0.00090320327,--,--,--
18,stimuli\YadMordechai.png,1.0,17.0,68.19378,69.206764,69.457596,0.2549819,37.0,37.0,stimuli\YadMordechai.png,2.0,-0.061596993,--,--,--
19,stimuli\Neviot.PNG,1.0,18.0,69.478546,70.49031,70.81126,0.3148854,60.0,60.0,stimuli\Neviot.PNG,2.0,0.07345579,--,--,--
20,stimuli\Barackemaybe.png,1.0,19.0,70.90617,71.9191,72.16512,0.2506721,27.0,27.0,stimuli\Barackemaybe.png,2.0,-0.09112542,--,--,--
21,stimuli\Fitness_Chocolate.png,1.0,20.0,72.21947,73.23274,73.486115,0.2583109,73.0,73.0,stimuli\Fitness_Chocolate.png,2.0,-0.040790852,--,--,--
22,stimuli\ParaChocolate.png,1.0,21.0,73.50617,74.51791,74.90723,0.4007411,80.0,80.0,stimuli\ParaChocolate.png,2.0,-0.29822347,--,--,--
23,stimuli\KifKef.PNG,1.0,22.0,74.975586,75.98708,76.22839,0.251963,64.0,64.0,stimuli\KifKef.PNG,2.0,-0.21746503,--,--,--
24,stimuli\Smarties.PNG,1.0,23.0,76.26939,77.28154,77.59911,0.3298407,88.0,88.0,stimuli\Smarties.PNG,2.0,-0.06385898,--,--,--
25,stimuli\Kikkoman.png,1.0,24.0,77.6226,78.63437,78.90328,0.2726229,83.0,83.0,stimuli\Kikkoman.png,2.0,0.093797885,--,--,--
26,stimuli\Cafeelite.png,1.0,25.0,79.03575,80.04857,80.04864,0.0,23.0,23.0,stimuli\Cafeelite.png,2.0,0.06736974,--,--,--
27,stimuli\Quakermaybe.png,1.0,26.0,80.12889,81.13981,81.26025,0.1242229,18.0,20.0,stimuli\Quakermaybe.png,2.0,0.088773236,--,--,--
28,stimuli\Sano99.png,1.0,27.0,81.37039,82.38296,82.58156,0.2115366,75.0,73.0,stimuli\Sano99.png,2.0,-0.087494515,--,--,--
29,stimuli\Tuna_ToGo.png,1.0,28.0,82.63059,83.64202,83.90199,0.2644321,35.0,36.0,stimuli\Tuna_ToGo.png,2.0,-0.22878101,--,--,--
30,stimuli\Branflakesextra.png,1.0,29.0,83.924416,84.93689,84.97275,0.0480904,85.0,85.0,stimuli\Branflakesextra.png,2.0,0.2935443,--,--,--
31,stimuli\Tapuchips.PNG,1.0,30.0,85.30081,86.31389,86.31399,0.0,44.0,44.0,stimuli\Tapuchips.PNG,2.0,0.1990629,002,32,Right
