target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff
stimuli\Branflakesextra.png,stimuli\GelDeLin.png,stimuli\Tapuchips.PNG,0,9,10,88.0,61.5,61.0,9
stimuli\Branflakesextra.png,stimuli\GelDeLin.png,stimuli\CocaCola2L.png,0,9,14,88.0,61.5,58.5,9
stimuli\Branflakesextra.png,stimuli\GelDeLin.png,stimuli\KifKef.PNG,0,9,18,88.0,61.5,54.5,9
stimuli\Branflakesextra.png,stimuli\GelDeLin.png,stimuli\Tuna_ToGo.png,0,9,22,88.0,61.5,45.5,9
stimuli\Branflakesextra.png,stimuli\GelDeLin.png,stimuli\Wissotzky.png,0,9,26,88.0,61.5,36.0,9
stimuli\Branflakesextra.png,stimuli\GelDeLin.png,stimuli\Barackemaybe.png,0,9,30,88.0,61.5,20.5,9
stimuli\Sano99.png,stimuli\Zipperbigbag.png,stimuli\Tapuchips.PNG,1,8,10,78.5,62.0,61.0,7
stimuli\Sano99.png,stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,1,8,14,78.5,62.0,58.5,7
stimuli\Sano99.png,stimuli\Zipperbigbag.png,stimuli\KifKef.PNG,1,8,18,78.5,62.0,54.5,7
stimuli\Sano99.png,stimuli\Zipperbigbag.png,stimuli\Tuna_ToGo.png,1,8,22,78.5,62.0,45.5,7
stimuli\Sano99.png,stimuli\Zipperbigbag.png,stimuli\Wissotzky.png,1,8,26,78.5,62.0,36.0,7
stimuli\Sano99.png,stimuli\Zipperbigbag.png,stimuli\Barackemaybe.png,1,8,30,78.5,62.0,20.5,7
stimuli\Fitness_Chocolate.png,stimuli\Zipperbigbag.png,stimuli\Tapuchips.PNG,2,8,10,78.5,62.0,61.0,6
stimuli\Fitness_Chocolate.png,stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,2,8,14,78.5,62.0,58.5,6
stimuli\Fitness_Chocolate.png,stimuli\Zipperbigbag.png,stimuli\KifKef.PNG,2,8,18,78.5,62.0,54.5,6
stimuli\Fitness_Chocolate.png,stimuli\Zipperbigbag.png,stimuli\Tuna_ToGo.png,2,8,22,78.5,62.0,45.5,6
stimuli\Fitness_Chocolate.png,stimuli\Zipperbigbag.png,stimuli\Wissotzky.png,2,8,26,78.5,62.0,36.0,6
stimuli\Fitness_Chocolate.png,stimuli\Zipperbigbag.png,stimuli\Barackemaybe.png,2,8,30,78.5,62.0,20.5,6
stimuli\Branflakesextra.png,stimuli\FuseTeaGreen.png,stimuli\Tapuchips.PNG,0,5,10,88.0,66.0,61.0,5
stimuli\Branflakesextra.png,stimuli\FuseTeaGreen.png,stimuli\CocaCola2L.png,0,5,14,88.0,66.0,58.5,5
stimuli\Branflakesextra.png,stimuli\FuseTeaGreen.png,stimuli\KifKef.PNG,0,5,18,88.0,66.0,54.5,5
stimuli\Branflakesextra.png,stimuli\FuseTeaGreen.png,stimuli\Tuna_ToGo.png,0,5,22,88.0,66.0,45.5,5
stimuli\Branflakesextra.png,stimuli\FuseTeaGreen.png,stimuli\Wissotzky.png,0,5,26,88.0,66.0,36.0,5
stimuli\Branflakesextra.png,stimuli\FuseTeaGreen.png,stimuli\Barackemaybe.png,0,5,30,88.0,66.0,20.5,5
stimuli\Kikkoman.png,stimuli\Splendid.PNG,stimuli\Tapuchips.PNG,3,6,10,72.0,65.5,61.0,3
stimuli\Kikkoman.png,stimuli\Splendid.PNG,stimuli\CocaCola2L.png,3,6,14,72.0,65.5,58.5,3
stimuli\Kikkoman.png,stimuli\Splendid.PNG,stimuli\KifKef.PNG,3,6,18,72.0,65.5,54.5,3
stimuli\Kikkoman.png,stimuli\Splendid.PNG,stimuli\Tuna_ToGo.png,3,6,22,72.0,65.5,45.5,3
stimuli\Kikkoman.png,stimuli\Splendid.PNG,stimuli\Wissotzky.png,3,6,26,72.0,65.5,36.0,3
stimuli\Kikkoman.png,stimuli\Splendid.PNG,stimuli\Barackemaybe.png,3,6,30,72.0,65.5,20.5,3
stimuli\Kikkoman.png,stimuli\ChocolateSpread.png,stimuli\Tapuchips.PNG,3,4,10,72.0,68.0,61.0,1
stimuli\Kikkoman.png,stimuli\ChocolateSpread.png,stimuli\CocaCola2L.png,3,4,14,72.0,68.0,58.5,1
stimuli\Kikkoman.png,stimuli\ChocolateSpread.png,stimuli\KifKef.PNG,3,4,18,72.0,68.0,54.5,1
stimuli\Kikkoman.png,stimuli\ChocolateSpread.png,stimuli\Tuna_ToGo.png,3,4,22,72.0,68.0,45.5,1
stimuli\Kikkoman.png,stimuli\ChocolateSpread.png,stimuli\Wissotzky.png,3,4,26,72.0,68.0,36.0,1
stimuli\Kikkoman.png,stimuli\ChocolateSpread.png,stimuli\Barackemaybe.png,3,4,30,72.0,68.0,20.5,1
