TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time
1,stimuli\Fitness_Chocolate.png,1.0,0.0,0.5577177,1.5824432,1.8796439,0.3126693,48.0,48.0,0.035583403
2,stimuli\Filtuna.png,1.0,1.0,1.9614077,2.9739046,3.2325509,0.2613976,3.0,9.0,0.3421906
3,stimuli\Parachocolate.PNG,1.0,2.0,3.617663,4.629382,4.8210883,0.1972788,56.0,51.0,0.3164199
4,stimuli\Splendid.PNG,1.0,3.0,5.160018,6.1703324,6.392229,0.2239937,62.0,68.0,0.4061615
5,stimuli\Colgate.png,1.0,4.0,6.83628,7.8467865,7.8799224,0.0391405,76.0,76.0,0.65078676
6,stimuli\Tuna_ToGo.png,1.0,5.0,8.5823345,9.592938,9.820846,0.2379682,34.0,34.0,0.111857556
7,stimuli\Smarties.PNG,1.0,6.0,9.966845,10.977513,11.441158,0.466772,22.0,19.0,0.2174355
8,stimuli\YadMordechai.png,1.0,7.0,11.694936,12.705973,12.9965105,0.3007444,74.0,74.0,0.23395781
9,stimuli\ChocolateSpread.png,1.0,8.0,13.256867,14.268152,14.551749,0.2845044,67.0,70.0,0.3988683
10,stimuli\Fitness.png,1.0,9.0,15.005863,16.017282,16.207973,0.200929,0.0,1.0,0.47565734
11,stimuli\Sano99.PNG,1.0,10.0,16.714157,17.724392,17.912088,0.1981239,61.0,59.0,0.25147858
12,stimuli\Kikkoman.PNG,1.0,11.0,18.201052,19.211464,19.549818,0.3486157,23.0,24.0,0.11833659
13,stimuli\HEINZ.PNG,1.0,12.0,19.689423,20.69843,21.054682,0.3603935,39.0,35.0,0.32231474
14,stimuli\FuzeTeaGreen.png,1.0,13.0,21.412165,22.421679,22.84373,0.4230134,11.0,10.0,-0.08864098
15,stimuli\Branflakesextra.png,1.0,14.0,22.881098,23.891968,24.147589,0.2578218,69.0,67.0,0.27819687
16,stimuli\Neviot.PNG,1.0,15.0,24.459887,25.471535,25.536877,0.0653795,47.0,47.0,0.32476687
17,stimuli\Baracke.png,1.0,16.0,25.897535,26.908424,26.908592,0.0090601,21.0,21.0,0.44483998
18,stimuli\Milka.PNG,1.0,17.0,27.404325,28.416508,28.478317,0.0744716,54.0,54.0,0.44506392
19,stimuli\Tapuchips.PNG,1.0,18.0,28.961906,29.97267,30.34985,0.372882,0.0,1.0,-0.01645466
20,stimuli\Zippersmallbag.png,1.0,19.0,30.39682,31.408667,31.921928,0.5151797,68.0,55.0,-0.15774043
21,stimuli\Cafeelite.png,1.0,20.0,31.959545,32.96996,33.760757,0.7932542,12.0,18.0,-0.2220559
22,stimuli\Zipperbigbag.png,1.0,21.0,33.803856,34.814503,35.817093,None,27.0,26.0,-0.42664957
23,stimuli\KifKef.PNG,1.0,22.0,35.869305,36.879986,37.82366,0.9462295999983326,60.0,60.0,-0.6020093
24,stimuli\GelDeLin.png,1.0,23.0,37.856987,38.867733,39.278305,0.4130666000128258,23.0,24.0,0.14652276
25,stimuli\Oreo.PNG,1.0,24.0,39.460796,40.47169,41.469906,None,44.0,44.0,-0.52145773
26,stimuli\Branflakes.png,1.0,25.0,41.512203,42.523495,42.822605,0.30960330000380054,17.0,17.0,0.30194232
27,stimuli\Quaker.PNG,1.0,26.0,43.183525,44.194653,45.029068,0.8366726999811362,80.0,78.0,-0.33491516
28,stimuli\Chocolatemilk.png,1.0,27.0,45.06616,46.07716,47.068962,None,24.0,29.0,-0.41276187
29,stimuli\CocaCola2L.png,1.0,28.0,47.098946,48.10987,49.108147,None,44.0,38.0,-0.5645001
30,stimuli\FuzeTea.png,1.0,29.0,49.14213,50.1513,50.647644,0.5060556000098586,46.0,59.0,0.004389927
31,stimuli\Prince.PNG,1.0,30.0,50.70193,51.712273,52.591434,0.8893362999951933,64.0,61.0,-0.34208998
32,stimuli\Wissotzky.png,1.0,31.0,52.62051,53.632263,54.628395,None,71.0,70.0,-0.43682432
